"edition_id","country_noc","participants"
20,"LAO",19
20,"LBA",21
20,"LBN",15
20,"LES",5
20,"LUX",3
20,"MAD",11
20,"MEX",48
20,"MGL",43
20,"MLI",7
20,"MLT",9
20,"MOZ",14
20,"MYA",2
20,"NCA",5
20,"NED",56
20,"NEP",11
20,"NGR",28
20,"NZL",5
20,"PER",19
20,"POL",206
20,"POR",11
20,"PRK",49
20,"PUR",3
20,"ROU",155
20,"SEN",21
20,"SEY",12
20,"SLE",16
20,"SMR",16
20,"SRI",1
20,"SUI",44
20,"SWE",112
20,"SYR",53
20,"TAN",26
20,"TCH",125
20,"TTO",8
20,"UGA",13
20,"URS",314
20,"VEN",22
20,"VIE",31
20,"YUG",72
20,"ZAM",25
20,"ZIM",28
21,"AHO",9
21,"ALG",19
21,"AND",2
21,"ANT",15
21,"ARG",70
21,"AUS",165
21,"AUT",85
21,"BAH",20
21,"BAN",1
21,"BAR",15
21,"BEL",63
21,"BEN",3
21,"BER",11
21,"BHU",6
21,"BIZ",10
21,"BOL",11
21,"BOT",7
21,"BRA",78
21,"BRN",11
21,"CAF",3
21,"CAN",270
21,"CAY",8
21,"CGO",10
21,"CHA",3
21,"CHI",27
21,"CHN",143
21,"CIV",14
21,"CMR",33
21,"COD",8
21,"COL",39
21,"CRC",12
21,"CYP",10
21,"DEN",39
21,"DJI",3
21,"DOM",21
21,"ECU",11
21,"EGY",82
21,"ESA",10
21,"ESP",124
21,"FIJ",14
21,"FIN",88
21,"FRA",189
21,"FRG",258
21,"GAB",4
21,"GAM",9
21,"GBR",286
21,"GEQ",4
21,"GHA",20
21,"GRE",50
21,"GRN",7
21,"GUA",26
21,"GUI",1
21,"GUY",10
21,"HAI",4
21,"HKG",52
21,"HON",12
21,"INA",16
21,"IND",33
21,"IRL",43
21,"IRQ",9
21,"ISL",15
21,"ISR",31
21,"ISV",30
21,"ITA",197
21,"IVB",7
21,"JAM",45
21,"JOR",13
21,"JPN",186
21,"KEN",45
21,"KOR",119
21,"KSA",24
21,"KUW",25
21,"LBN",22
21,"LBR",6
21,"LES",4
