"edition_id","year","code","participants"
16,1964,"HKG",21
16,1964,"HUN",141
16,1964,"IND",38
16,1964,"IRI",51
16,1964,"IRL",24
16,1964,"IRQ",14
16,1964,"ISL",4
16,1964,"ISR",10
16,1964,"ITA",122
16,1964,"JAM",18
16,1964,"JPN",278
16,1964,"KEN",22
16,1964,"KOR",104
16,1964,"LBN",6
16,1964,"LBR",1
16,1964,"LIE",2
16,1964,"LUX",12
16,1964,"MAD",3
16,1964,"MAR",9
16,1964,"MAS",45
16,1964,"MEX",70
16,1964,"MGL",22
16,1964,"MLI",2
16,1964,"MON",1
16,1964,"MYA",11
16,1964,"NED",72
16,1964,"NEP",6
16,1964,"NGR",15
16,1964,"NIG",1
16,1964,"NOR",17
16,1964,"NZL",39
16,1964,"PAK",25
16,1964,"PAN",12
16,1964,"PER",21
16,1964,"PHI",43
16,1964,"POL",113
16,1964,"POR",17
16,1964,"PUR",21
16,1964,"ROU",98
16,1964,"SEN",8
16,1964,"SRI",6
16,1964,"SUI",61
16,1964,"SWE",96
16,1964,"TAN",4
16,1964,"TCH",63
16,1964,"THA",50
16,1964,"TPE",42
16,1964,"TTO",13
16,1964,"TUN",10
16,1964,"TUR",22
16,1964,"UGA",16
16,1964,"URS",252
16,1964,"URU",11
16,1964,"USA",264
16,1964,"VEN",15
16,1964,"VNM",16
16,1964,"YUG",29
16,1964,"ZAM",12
16,1964,"ZIM",14
17,1968,"AFG",5
17,1968,"AHO",5
17,1968,"ALG",3
17,1968,"ARG",72
17,1968,"AUS",109
17,1968,"AUT",42
17,1968,"BAH",14
17,1968,"BAR",10
17,1968,"BEL",52
17,1968,"BER",4
17,1968,"BIZ",7
17,1968,"BOL",4
17,1968,"BRA",33
17,1968,"BUL",73
17,1968,"CAF",1
17,1968,"CAN",132
17,1968,"CHA",4
17,1968,"CHI",22
17,1968,"CIV",7
17,1968,"CMR",6
17,1968,"COD",5
17,1968,"COL",28
17,1968,"CRC",20
17,1968,"CUB",98
17,1968,"DEN",49
17,1968,"DOM",17
17,1968,"ECU",23
17,1968,"EGY",21
17,1968,"ESA",45
17,1968,"ESP",68
17,1968,"ETH",20
17,1968,"FIJ",1
17,1968,"FIN",66
17,1968,"FRA",152
17,1968,"FRG",229
17,1968,"GBR",200
17,1968,"GDR",168
17,1968,"GHA",19
17,1968,"GRE",33
17,1968,"GUA",31
17,1968,"GUI",1
17,1968,"GUY",5
17,1968,"HKG",8
17,1968,"HON",6
17,1968,"HUN",144
17,1968,"INA",5
17,1968,"IND",12
17,1968,"IRI",14
17,1968,"IRL",34
17,1968,"IRQ",3
17,1968,"ISL",8
17,1968,"ISR",13
17,1968,"ISV",5
17,1968,"ITA",147
17,1968,"JAM",27
17,1968,"JPN",122
17,1968,"KEN",30
17,1968,"KOR",35
17,1968,"KUW",2
17,1968,"LBA",1
17,1968,"LBN",11
17,1968,"LIE",2
17,1968,"LUX",5
17,1968,"MAD",4
17,1968,"MAR",15
17,1968,"MAS",15
17,1968,"MEX",191
17,1968,"MGL",16
17,1968,"MLI",2
17,1968,"MLT",1
17,1968,"MON",2
17,1968,"MYA",4
17,1968,"NCA",11
17,1968,"NED",65
17,1968,"NGR",20
17,1968,"NIG",2
17,1968,"NOR",39
17,1968,"NZL",28
17,1968,"PAK",3
17,1968,"PAN",5
17,1968,"PAR",1
17,1968,"PER",18
17,1968,"PHI",42
17,1968,"POL",144
17,1968,"POR",17
17,1968,"PUR",54
17,1968,"ROU",72
17,1968,"SEN",11
17,1968,"SGP",5
17,1968,"SLE",3
17,1968,"SMR",4
17,1968,"SRI",3
17,1968,"SUD",5
17,1968,"SUI",77
17,1968,"SUR",1
17,1968,"SWE",99
17,1968,"SYR",2
17,1968,"TAN",4
17,1968,"TCH",71
17,1968,"THA",25
17,1968,"TPE",43
17,1968,"TTO",16
17,1968,"TUN",7
17,1968,"TUR",29
17,1968,"UGA",11
17,1968,"URS",250
17,1968,"URU",26
17,1968,"USA",293
17,1968,"VEN",23
17,1968,"VNM",11
17,1968,"YUG",48
17,1968,"ZAM",7
18,1972,"AFG",8
18,1972,"AHO",2
18,1972,"ALB",5
18,1972,"ALG",5
18,1972,"ARG",62
18,1972,"AUS",116
18,1972,"AUT",85
18,1972,"BAH",14
18,1972,"BAR",13
18,1972,"BEL",60
18,1972,"BEN",4
18,1972,"BER",4
18,1972,"BIZ",1
18,1972,"BOL",11
18,1972,"BRA",40
18,1972,"BUL",112
18,1972,"BUR",1
18,1972,"CAM",11
18,1972,"CAN",189
18,1972,"CGO",6
18,1972,"CHA",4
18,1972,"CHI",11
18,1972,"CIV",9
18,1972,"CMR",12
18,1972,"COL",44
18,1972,"CRC",3
18,1972,"CUB",89
18,1972,"DEN",79
18,1972,"DOM",5
18,1972,"ECU",6
18,1972,"EGY",14
18,1972,"ESA",14
18,1972,"ESP",60
18,1972,"ETH",29
18,1972,"FIJ",2
18,1972,"FIN",91
18,1972,"FRA",185
18,1972,"FRG",299
18,1972,"GAB",2
18,1972,"GBR",255
18,1972,"GDR",227
18,1972,"GHA",20
18,1972,"GRE",46
18,1972,"GUA",8
18,1972,"GUY",3
18,1972,"HAI",7
18,1972,"HKG",8
18,1972,"HUN",170
18,1972,"INA",10
18,1972,"IND",29
18,1972,"IRI",32
18,1972,"IRL",59
18,1972,"ISL",11
18,1972,"ISR",13
18,1972,"ISV",11
18,1972,"ITA",172
18,1972,"JAM",30
18,1972,"JPN",136
18,1972,"KEN",41
18,1972,"KOR",25
18,1972,"KSA",12
18,1972,"KUW",6
18,1972,"LBN",22
18,1972,"LBR",7
18,1972,"LES",1
18,1972,"LIE",6
18,1972,"LUX",11
18,1972,"MAD",9
18,1972,"MAR",18
18,1972,"MAS",18
18,1972,"MAW",16
18,1972,"MEX",131
18,1972,"MGL",39
18,1972,"MLI",3
18,1972,"MLT",2
18,1972,"MON",5
18,1972,"MYA",6
18,1972,"NCA",9
18,1972,"NED",86
18,1972,"NEP",2
18,1972,"NGR",22
18,1972,"NIG",4
18,1972,"NOR",77
18,1972,"NZL",52
18,1972,"PAK",13
18,1972,"PAN",7
18,1972,"PAR",4
18,1972,"PER",20
18,1972,"PHI",43
18,1972,"POL",195
18,1972,"POR",27
18,1972,"PRK",25
18,1972,"PUR",41
18,1972,"ROU",115
18,1972,"SEN",24
18,1972,"SGP",7
18,1972,"SMR",7
18,1972,"SOM",4
18,1972,"SRI",4
18,1972,"SUD",13
18,1972,"SUI",136
18,1972,"SUR",2
18,1972,"SWE",109
18,1972,"SWZ",2
18,1972,"SYR",5
18,1972,"TAN",15
18,1972,"TCH",108
18,1972,"THA",32
18,1972,"TOG",8
18,1972,"TPE",22
18,1972,"TTO",21
18,1972,"TUN",10
18,1972,"TUR",43
18,1972,"UGA",17
18,1972,"URS",265
18,1972,"URU",11
18,1972,"USA",315
18,1972,"VEN",21
18,1972,"VNM",2
18,1972,"YUG",76
18,1972,"ZAM",11
19,1976,"AHO",4
19,1976,"AND",3
19,1976,"ANT",9
19,1976,"ARG",53
19,1976,"AUS",131
19,1976,"AUT",59
19,1976,"BAH",12
19,1976,"BAR",10
19,1976,"BEL",83
19,1976,"BER",15
19,1976,"BIZ",4
19,1976,"BOL",4
19,1976,"BRA",45
19,1976,"BUL",123
19,1976,"CAN",240
19,1976,"CAY",1
19,1976,"CHI",7
19,1976,"CIV",7
19,1976,"CMR",5
19,1976,"COL",31
19,1976,"CRC",5
19,1976,"CUB",95
19,1976,"DEN",41
19,1976,"DOM",11
19,1976,"ECU",5
19,1976,"EGY",10
19,1976,"ESP",71
19,1976,"FIJ",2
19,1976,"FIN",76
19,1976,"FRA",162
19,1976,"FRG",212
19,1976,"GBR",212
19,1976,"GDR",185
19,1976,"GRE",33
19,1976,"GUA",11
19,1976,"HAI",13
19,1976,"HKG",27
19,1976,"HON",3
19,1976,"HUN",134
19,1976,"INA",7
19,1976,"IND",11
19,1976,"IRI",63
19,1976,"IRL",34
19,1976,"ISL",13
19,1976,"ISR",11
19,1976,"ISV",19
19,1976,"ITA",161
19,1976,"JAM",23
19,1976,"JPN",142
19,1976,"KOR",28
19,1976,"KSA",14
19,1976,"KUW",15
19,1976,"LBN",3
19,1976,"LIE",6
19,1976,"LUX",8
19,1976,"MAR",12
19,1976,"MAS",8
19,1976,"MEX",63
19,1976,"MGL",32
19,1976,"MON",6
19,1976,"NCA",17
19,1976,"NED",62
19,1976,"NEP",1
19,1976,"NOR",48
19,1976,"NZL",48
19,1976,"PAK",9
19,1976,"PAN",8
19,1976,"PAR",4
19,1976,"PER",2
19,1976,"PHI",13
19,1976,"PNG",6
19,1976,"POL",148
19,1976,"POR",20
19,1976,"PRK",24
19,1976,"PUR",71
19,1976,"ROU",103
19,1976,"SEN",23
19,1976,"SGP",4
19,1976,"SMR",10
19,1976,"SUI",45
19,1976,"SUR",3
19,1976,"SWE",108
19,1976,"TCH",90
19,1976,"THA",41
19,1976,"TTO",12
19,1976,"TUN",9
19,1976,"TUR",27
19,1976,"URS",272
19,1976,"URU",10
19,1976,"USA",313
19,1976,"VEN",35
19,1976,"YUG",50
20,1980,"AFG",11
20,1980,"ALG",31
20,1980,"AND",2
20,1980,"ANG",14
20,1980,"AUS",86
20,1980,"AUT",61
20,1980,"BEL",54
20,1980,"BEN",16
20,1980,"BOT",7
20,1980,"BRA",66
20,1980,"BUL",192
20,1980,"CGO",9
20,1980,"CMR",25
20,1980,"COL",7
20,1980,"CRC",14
20,1980,"CUB",103
20,1980,"CYP",12
20,1980,"DEN",33
20,1980,"DOM",6
20,1980,"ECU",11
20,1980,"ESP",80
20,1980,"ETH",38
20,1980,"FIN",91
20,1980,"FRA",109
